UUID,SIGNAL_CLASSIFICATION
b1cc342f-eae4-442b-91de-10c9a444072e,narrowband
d83f4c12-0f5d-4be0-a268-c27812a126e4,narrowband
8add8be2-2fb9-446a-8ff9-e4f4a3931bea,narrowband
ad580bf4-1568-4f8f-8b58-319fd63c1da3,narrowband
4ffe0886-ebe7-4e7a-b209-9f86a1de9896,narrowband
9030f869-336f-409b-a39c-f07d45a07c89,narrowband
6a363c13-784d-4ed3-b45e-c65262271150,narrowband
97d7f6d9-7da6-49a0-bcd0-0983b02268c3,narrowband
a496c64d-7a1f-4ad6-be62-69249cf559a0,narrowband
9b7f6cd7-f4ed-4ae9-8dda-fa4993f07f2b,narrowband
1b16f833-0684-4b77-8968-f51c68ae84f1,narrowband
80551a14-fac1-44db-8a7b-6dcddba13a4c,narrowband
8587f613-6c96-4461-827b-f30795bd7891,narrowband
b5e3139f-c769-4f2e-9ece-8772ca2f6c65,narrowband
1bd635a2-9f0c-4fd1-8b0e-549310357073,narrowband
9b1588d3-4c24-4159-aa3a-3a616dff8fca,narrowband
36196416-03cc-444c-8293-c056e530a61a,narrowband
d0b09821-deba-42df-89f9-deae00a3322a,narrowband
e5454fdd-3517-4dca-8d4f-9bce800a2efc,narrowband
955c09ea-366d-4e29-b959-52ef3468afe1,narrowband
60cc7b65-2b12-4633-90bd-c1d449f3dd4f,narrowband
3d3e59fb-8e82-4dfc-8d6d-f005d84cd2b8,narrowband
b0f68eb1-e2d4-46d4-9d73-a2aad605b3cb,narrowband
e35c4e3d-a1d2-47f7-af27-2c8432136a27,narrowband
8990c3ed-26a6-4b6b-be7d-1bc1842a85c3,narrowband
adcef41f-4f39-4f11-ac1f-e0e4b0f7a764,narrowband
db49f6ae-280c-401b-8fbc-7d45e5828501,narrowband
3d11083c-8e31-4c8c-a2f7-c4333e9cfb5e,narrowband
eb31c208-a8aa-4f74-a5e2-3ddcd9160c8a,narrowband
b01ed2f5-f927-4f16-9ee5-417f374dd7e0,narrowband
2263516d-2adb-43eb-831b-fca2beff8d83,narrowband
0ed66fed-b456-4412-8bbf-e5d5324f4f81,narrowband
16f96805-2324-416e-a11c-22c80cca2cd3,narrowband
509ce267-5c4e-4865-abd9-5b1569781ef1,narrowband
3162e539-f27a-4dc5-9db4-c762843dd2c9,narrowband
